instructions,cycles,cpu_migrations,branches,branch_misses,context_switches,cache_references,cache_misses,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_loads,thread,workload,class,app,dwarfs,MIPS,instructions_per_cycle,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI,power,seconds
611175994091,775320061951,1,97915056270,429300587,21327,65384870843,6219026090,5730472137,230171917811,83666174582,325265830,65279511577,1,C,MEM,cg,SLA,2402.79915903051,0.788288635989953,106.809678731067,0.532196671899339,2.7510749590375,136.893751375881,0.004384418529222,0.70241729248299,10.1755077917442,324,254.36
611181548222,775767759973,1,97912081922,429311736,21340,65384077648,6217956005,5728399344,230158799389,83672765895,324776574,65279312524,1,C,MEM,cg,SLA,2401.49920715914,0.787840871658899,106.808382409294,0.531391327085731,2.75070146094876,136.903291891606,0.004384665585418,0.702429150960004,10.1736644751282,324,254.5
611169517089,774430501549,1,97898505987,429049400,21304,65392563324,6219043777,5728958623,230161532634,83663281979,324559617,65279857175,1,C,MEM,cg,SLA,2405.61094658348,0.789185751163663,106.811376139844,0.531046801132814,2.75104594500335,136.890469239186,0.004382593949462,0.702013742510526,10.1756445685009,324,254.06
611187646083,773395651970,1,97891883766,429166219,21277,65369079476,6198968139,5714514362,230166609100,83654229528,325676374,65256417677,1,C,MEM,cg,SLA,2408.90606212754,0.790265169614256,106.769857171063,0.532858240979192,2.75140432705749,136.871597559483,0.004384083771703,0.702184053867016,10.1424958091482,324,253.72
611136644900,774445464551,1,97908010486,429389870,21319,65387017571,6219410111,5730751459,230177797520,83659053350,323976147,65276689184,1,C,MEM,cg,SLA,2403.87304763403,0.789128057266522,106.811937606329,0.530120636200783,2.75137941804119,136.890913101258,0.004385645953468,0.702608612301854,10.1767913328412,324,254.23
611273050290,775148664971,1,97942746238,429820428,21354,65377449528,6217457028,5722883634,230199407215,83664798221,329180027,65266846202,1,C,MEM,cg,SLA,2400.63248749165,0.788588148201054,106.772000125044,0.538515524026179,2.7514487826401,136.869764144367,0.004388486585372,0.703156188214227,10.171325277714,324,254.63
611447878587,772675997438,1,97975616976,429248939,21312,65367012466,6203407985,5706348913,230151909849,83675645647,328796052,65256372932,1,C,MEM,cg,SLA,2406.13835426964,0.791338000163598,106.724342690994,0.537733572254462,2.75052445749789,136.848370200199,0.004381181280085,0.702020489451946,10.1454403592593,324,254.12
611041916825,774602854557,1,97912314005,429224141,21350,65383970642,6216759529,5718627249,230182333982,83658254105,325935025,65287918172,1,C,MEM,cg,SLA,2400.19607520229,0.788845423471178,106.846873142908,0.533408618992249,2.75145992998009,136.910826903156,0.004383760565378,0.702446312079975,10.1740312044426,324,254.58
611131898584,775325368510,1,97913896545,429554102,21355,65380211082,6217313778,5704950954,230202386666,83672981795,325701020,65287747181,1,C,MEM,cg,SLA,2399.51273541953,0.788226367155324,106.830861442959,0.532947176795473,2.7512152875106,136.914767481245,0.004387059622355,0.702882803197284,10.1734401238188,324,254.69
611423967092,774781473767,1,97958568986,429106552,21365,65383379129,6219682826,5706287159,230160974169,83670286325,328259749,65271124758,1,C,MEM,cg,SLA,2399.99987082744,0.789156669065984,106.752643453669,0.536877464194346,2.75080897028351,136.84495673754,0.004380490205623,0.701815066296597,10.1724550569738,324,254.76
