branch_misses,cache_misses,cache_references,cycles,instructions,context_switches,L1_dcache_load_misses,L1_dcache_loads,L1_dcache_stores,branches,app,dwarfs,class,workload,Thread,Run,Mode,power,seconds,energy,MIPS,instructions_per_cycle,L1_load_ratio,L1_store_ratio,L1_load_rate_PTI,cache_misses_PTI
61975572,6801617442,110193692816,218106956445,214406750340,80397,6801612520,110212822246,110208937438,2599367552,bt,DLA,CPU,A,1,11,1,3.85281,243.2,937.003392,881.606703700658,40.8800616442905,16.2039254547244,16.2037342466789,31.7221963497626,31.7229631586421
62535046,6714718736,110127095056,218394873816,214298494306,81392,6715563162,110210726344,110242629229,2606626537,bt,DLA,CPU,A,1,12,1,3.85213,244.7,942.616211,875.760091156518,41.8800616442905,16.4112411253351,16.4178893880761,31.3338036309852,31.3334853692997
61908858,6438046829,110164893669,218030910633,214400174556,80710,6435370304,110215587409,110199428406,2601774062,bt,DLA,CPU,A,1,13,1,3.85146,243.58,938.1386268,880.20434582478,42.8800616442905,17.1265338593638,17.1183850325293,30.0255807922328,30.0281790457145
61878636,6328944414,110183775409,217311342190,214309319555,81103,6330590949,110215413636,110209048861,2605333774,bt,DLA,CPU,A,1,14,1,3.85121,242.96,935.6899816,882.076553980079,43.8800616442905,17.4099723902411,17.4062264585507,29.5441546132812,29.5318207679519
62435128,6676866073,110151666763,218159120945,214400818557,81834,6679506287,110207621684,110230999483,2608142425,bt,DLA,CPU,A,1,15,1,3.85151,244.67,942.3489517,876.285685032902,44.8800616442905,16.4993664125284,16.4966112139568,31.1661076854682,31.1419803242258
62323042,6526324477,110185893993,218605957887,214329281591,81313,6524419975,110227459302,110226412145,2600563192,bt,DLA,CPU,A,1,16,1,3.84974,244.69,941.9928806,875.921703343006,45.8800616442905,16.8945990178997,16.8887579903444,30.4513429688744,30.4499899806226
62329694,6344737941,110145947554,217350196656,214357584630,81644,6344091298,110237116745,110253993433,2607702933,bt,DLA,CPU,A,1,17,1,3.84932,244.1,939.619012,878.154791601803,46.8800616442905,17.3763446279143,17.3752350884033,29.6022542610416,29.5988497535628
61935507,6356317042,110127334210,217133553539,214369687463,80763,6358527930,110229674723,110248431306,2601694572,bt,DLA,CPU,A,1,18,1,3.84972,242.81,934.7505132,882.870093748198,47.8800616442905,17.3357223458795,17.3372298162494,29.6639744138152,29.6511933064095
62180040,6476658628,110183930281,217886514502,214387115382,81850,6475013537,110223747455,110226976266,2603231257,bt,DLA,CPU,A,1,19,1,3.85035,244.14,940.024449,878.131872622266,48.8800616442905,17.0229369908111,17.024840505817,30.1999456425524,30.2101113514202
62551162,6203020808,110181396764,217205671266,214408359181,82046,6205342327,110201827919,110238207474,2608260198,bt,DLA,CPU,A,1,20,1,3.84823,244.51,940.9307173,876.889939802053,49.8800616442905,17.7591858936617,17.7631913892682,28.944725442169,28.93087205972
62522422,6400461492,110136007140,217138271503,214372885391,81760,6406383366,110216540312,110214556184,2608431792,bt,DLA,CPU,A,1,21,1,3.84962,244.04,939.4612648,878.433393669071,50.8800616442905,17.2041749635125,17.2037798536262,29.8844471646458,29.8566746457979
62235597,6458923949,110186318976,217777296941,214393043476,81179,6464628503,110197598905,110236790735,2603845130,bt,DLA,CPU,A,1,22,1,3.84895,243.67,937.8736465,879.84997527804,51.8800616442905,17.0462384426052,17.0525729425672,30.1526825879668,30.1265556208359
62293408,6378669336,110186607880,218059767262,214353863718,81085,6377203022,110216571636,110228337232,2602491460,bt,DLA,CPU,A,1,23,1,3.84908,243.85,938.598158,879.039834808284,52.8800616442905,17.2829014939271,17.2775082208982,29.7632828694576,29.7576597191253
62874016,6439291397,110206096210,217647676440,214428822647,82064,6439533961,110230674833,110228632424,2606577957,bt,DLA,CPU,A,1,24,1,3.84897,245.06,943.2285882,875.005397237411,53.8800616442905,17.1178031672159,17.1151137825328,30.0352649634347,30.0299713327279
61470613,6421123713,110121745130,217139010723,214318843440,79944,6428350515,110201104063,110242349824,2602533179,bt,DLA,CPU,A,1,25,1,3.8513,241.63,930.589619,886.971168480735,54.8800616442905,17.1429830725402,17.1433145395237,30.0049779001364,29.9606120018916
61977223,6512435215,110203932519,217890814839,214339386228,80543,6510685925,110217789252,110227343409,2600324570,bt,DLA,CPU,A,1,26,1,3.85038,243.17,936.2969046,881.438443179669,55.8800616442905,16.9287522884158,16.9229280063307,30.3886810521673,30.3837541462049
62289151,6248238966,110184023023,217310575048,214376420901,81341,6248657466,110204271789,110231711879,2601148494,bt,DLA,CPU,A,1,27,1,3.84884,243.58,937.5004472,880.106826919287,56.8800616442905,17.6364718963457,17.6415589155744,29.1469138058124,29.1461110309583
62569847,6494660563,110204356179,218027326742,214380647895,81664,6493330332,110221837842,110213467780,2604403216,bt,DLA,CPU,A,1,28,1,3.84935,244.42,940.858127,877.09945133377,57.8800616442905,16.974623530057,16.9773548121246,30.2816170617208,30.2949945658387
62007285,6440727757,110131611634,217058849190,214383610324,80314,6442743047,110176281073,110166449278,2602107723,bt,DLA,CPU,A,1,29,1,3.85124,242.37,933.4250388,884.530306242522,58.8800616442905,17.1008342672152,17.0978265754602,30.0550091178247,30.0430044408062
62276003,6177233863,110176118172,216795543819,214312557973,81376,6179609208,110230808955,110239653766,2605547924,bt,DLA,CPU,A,1,30,1,3.84944,243.36,936.7997184,880.640031118508,59.8800616442905,17.8378284523716,17.8289344224635,28.8512632226572,28.8234806276645
59672183,6227662636,110077598950,221920157775,214151676293,74067,6229601772,110147154787,110183875836,2567907127,bt,DLA,CPU,A,1,1,2,3.94154,220.75,870.094955,970.109518881087,60.8800616442905,17.681251357362,17.6917039274623,29.08217637988,29.0806158690973
59698615,6328232771,110104253096,222121221300,214314149171,73685,6324732710,110170161868,110158390238,2569541936,bt,DLA,CPU,A,1,2,2,3.94351,220.86,870.9636186,970.361990269854,61.8800616442905,17.4189435221208,17.414390207522,29.5160654649673,29.5278347019017
59952593,6327696300,110071898565,222287368227,214145150392,73687,6324541580,110154106478,110145349357,2567461205,bt,DLA,CPU,A,1,3,2,3.9442,221.11,872.102062,968.500521875989,62.8800616442905,17.4169313435046,17.4019056150627,29.5570517726581,29.5486322637563
59698758,6528508904,110053792349,222871120096,214185905525,74529,6531045410,110096428117,110142257124,2571240616,bt,DLA,CPU,A,1,4,2,3.94649,221.4,873.752886,967.416014114724,63.8800616442905,16.8573974311105,16.8644535106556,30.4923440176491,30.4805719498568
59855753,6221127061,110142841014,222006662990,214300629340,73900,6220800475,110140744926,110113699068,2568947683,bt,DLA,CPU,A,1,5,2,3.945,220.82,871.1349,970.476538991033,64.8800616442905,17.705236708464,17.6893304612902,29.0473495209568,29.0299056991094
60051550,6448876724,110092124467,222464541177,214138876109,74572,6445885109,110101884218,110174038525,2568514928,bt,DLA,CPU,A,1,6,2,3.94717,220.65,870.9430605,970.491167500567,65.8800616442905,17.0809566655588,17.0866651161315,30.1110876089491,30.1153944635323
59561484,6506527114,110079033817,222681416017,214145681034,73720,6506640233,110136986359,110132807748,2567433732,bt,DLA,CPU,A,1,7,2,3.94647,221.65,874.7350755,966.143383866456,66.8800616442905,16.9268597025564,16.9290787381358,30.3790414618127,30.3836485638342
59763071,6366811139,110088914993,222597587997,214117782444,73706,6371659665,110164619330,110171173502,2570875461,bt,DLA,CPU,A,1,8,2,3.94644,221.45,873.939138,966.889963621585,67.8800616442905,17.2897840001001,17.2902985481319,29.7586171604709,29.7350881665569
60049657,6776399445,110101651711,223309947831,214172235673,74143,6767516136,110157892852,110188057368,2576561587,bt,DLA,CPU,A,1,9,2,3.94913,222.05,876.9043165,964.522565516775,68.8800616442905,16.2774481269445,16.2901090931249,31.5825624490725,31.6399528804764
59980961,6335098318,110106841807,222562570252,214214524595,73666,6329959316,110162875279,110126489891,2571476697,bt,DLA,CPU,A,1,10,2,3.94734,221.41,873.9805494,967.501578948557,69.8800616442905,17.4034096870963,17.391916097554,29.5593888741744,29.5736170550401
