instructions,cycles,cpu_migrations,branches,branch_misses,branch_ratio,context_switches,cache_references,cache_misses,mem_loads,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_loads,thread,seconds,workload,class,app,MIPS,Instructions_per_cycle,dwarfs,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
17624187380,11273787322,2,106228706,701957,151.332212656901,9,137831022,77449,0,3075757981,4928095034,279364690,3366397,5920898,2,1.34,W,CPU,bt,13152.378641791,1.56328897083304,DLA,0.33595296465805,0.19101005495551,17.6403647647811,15.8512097026967,0.006607978449818,0.039829183886038,0.004394472115514
17657204315,11294005626,2,105743644,692638,152.66797952177,7,125575394,15265,0,3086359477,4934848184,279677643,1494198,4599077,2,1.33,W,CPU,bt,13276.0934699248,1.56341380549264,DLA,0.260464619310829,0.08462256953841,17.6447717846364,15.839293582983,0.006550162012574,0.039226934663241,0.000864519644655
17821019576,11379030032,2,105405929,681556,154.65483247158,7,152789222,181333,0,3074953461,4929110610,280479532,7125395,5955919,2,1.37,W,CPU,bt,13008.0434861314,1.56612817840219,DLA,0.334207533671136,0.399830939504491,17.5738692048302,15.738691650265,0.006466011983064,0.038244500944147,0.010175231513926
17664495609,11277041577,2,105902888,705238,150.166168017038,10,152013393,58028,0,3089657276,4936900059,279221328,5584122,6323940,2,1.35,W,CPU,bt,13084.8115622222,1.56641220912296,DLA,0.358002862916616,0.316121225513788,17.6809561589077,15.8069233438931,0.006659289593689,0.039924038342804,0.003285007468339
17861263189,11338203987,2,105048092,692044,151.793949517661,9,120481866,146238,0,3060914895,4915946567,278803632,1647774,4683293,2,1.36,W,CPU,bt,13133.2817566177,1.57531679704115,DLA,0.262203907441678,0.092254057429421,17.6322902672947,15.6094017007545,0.00658787786455,0.038745523912676,0.008187438841955
17597304145,11272425489,2,105973963,707912,149.699345398863,11,132541192,13444,0,3084982262,4936542953,280416328,3223423,5561202,2,1.33,W,CPU,bt,13231.0557481203,1.56109296638705,DLA,0.316025793165604,0.183177091981779,17.6043349123379,15.9351867586875,0.006680055930342,0.040228434660609,0.000763980658016
17670145018,11297244415,2,105797968,695703,152.073468132235,11,139901589,29812,0,3085504970,4934374407,280881170,4000433,6080021,2,1.33,W,CPU,bt,13285.8233218045,1.5641110671677,DLA,0.344084386053792,0.226395029351762,17.5674802515242,15.8958044607939,0.00657576901666,0.039371663293726,0.001687139520906
17624426201,11291029322,2,106271744,708303,150.037122530894,7,125125354,12302,0,3084256031,4932409383,280250278,2320716,4953779,2,1.33,W,CPU,bt,13251.4482714286,1.56092289714098,DLA,0.28107462583485,0.131676116631152,17.6000160221072,15.9012426733132,0.006665017184624,0.040188712637908,0.000698008539949
17737754846,12436893142,4,118717737,734989,161.52314796548,7,127824261,23689,0,3082385578,4935816597,283867720,3326538,4997798,4,0.78,W,CPU,bt,22740.7113410256,1.42622073241899,DLA,0.28176046198581,0.187539969341168,17.3877346709235,16.003587966152,0.006191063092788,0.041436416636785,0.001335512876667
17719026455,12457246203,4,118603946,734021,161.581134599691,9,131420160,10519,0,3083764769,4929967916,284607383,3587384,5454053,4,0.79,W,CPU,bt,22429.1474113924,1.42238711238868,DLA,0.307807712452563,0.202459430212527,17.321995880901,16.0622471964135,0.006188841305499,0.041425582938439,0.000593655640546
17714346301,12402004202,4,118591109,735803,161.172364070274,9,161084381,9077,0,3080876898,4931654138,284323835,8357704,6534108,4,0.77,W,CPU,bt,23005.6445467532,1.42834545227321,DLA,0.36885967390347,0.471804257294451,17.345201249132,16.0504841764299,0.006204537643712,0.041537124063024,0.00051240953777
17718154673,12438028375,4,118808882,737911,161.007061827239,5,125790257,12113,0,3077636545,4934125207,282188492,2941441,4702068,4,0.78,W,CPU,bt,22715.5829141026,1.42451473326857,DLA,0.26538136091369,0.16601283002018,17.485210583995,15.9265170221149,0.006210907699645,0.041647170013956,0.000683649072014
17656778771,12390012039,4,118267183,724311,163.28232347707,5,131064929,10916,0,3093013440,4931269531,286783593,3543032,5010680,4,0.79,W,CPU,bt,22350.3528746835,1.42508164765473,DLA,0.283782226927467,0.200661289692273,17.1950894380489,16.2421241563621,0.006124361649842,0.041021695372297,0.00061823281254
17775578410,12477707233,4,119145786,723965,164.573958685848,9,143797428,24594,0,3065650889,4925679624,283069237,6195756,6413630,4,0.79,W,CPU,bt,22500.732164557,1.42458691152719,DLA,0.360811325070125,0.348554396211065,17.4009711412053,15.9246146859983,0.006076295472171,0.040728069900258,0.001383583669275
17812393230,12445181736,4,116700177,716464,162.883518222828,6,129582263,179919,0,3085554337,4961537360,284562853,3451136,4953438,4,0.79,W,CPU,bt,22547.3332025316,1.43126822957308,DLA,0.278089414265643,0.193749147317696,17.4356466688925,15.9755541731884,0.006139356583838,0.040222781450463,0.01010077633459
17734621807,12436668431,4,118976946,722479,164.6787602131,9,124359881,9620,0,3071549710,4935903073,284019757,3109069,5381716,4,0.78,W,CPU,bt,22736.694624359,1.42599458250364,DLA,0.303458176811856,0.175310702073885,17.3787314133925,16.0149880888858,0.006072428519051,0.040738337014598,0.000542441790115
